"bank_name","product_type","product_description","product_name","insurance_type"
"-","Critical Illness","Comprehensive critical illness plan that provides H.O.P.E. and financial confidence","Advance Beyond Critical Cover","Life Insurance"
"-","Critical Illness","Elevate your protection with the perfect combination of coverage that goes above and beyond","Beyond Critical Cover (BCC) Series + BCC Booster","Life Insurance"
"-","Critical Illness","A plan that provides you coverage for 5 common critical illnesses.","ManuEZ-CI","Life Insurance"
"-","Medical","Get yourself a medical card from as low as RM2 a day with no medical checkup required!","ManuEZ-Med","Life Insurance"
"-","Investment","Protection in every step of life’s journey","ManuLink Essential/ManuLink Essential Plus","Life Insurance"
"-","Investment","Enjoy dual benefits of wealth and protection","ManuLink Premier","Life Insurance"
"-","Investment","Keeping you on course for your future","ManuLink Wealth","Life Insurance"
"-","Life","An affordable life insurance plan to protect your family’s future.","ManuProtect","Life Insurance"
"-","Savings","Build your wealth for a financially secure future","ManuSecure Series","Life Insurance"
"-","Savings","Build your wealth for a financially secure future.","ManuSecure Series","Life Insurance"
"-","Life","Life insurance coverage for a stipulated number of years at the lowest outlay.","ManuTerm","Life Insurance"
"-","Life","Provides life-time insurance protection at affordable premiums.","ManuWhole Life","Life Insurance"
"-","Investment","Ensuring your assets are taken care of during life’s uncertainties","Manulife Asset Shield","Life Insurance"
"-","Critical Illness","A simple critical illness plan to get you started","Manulife Easy 5","Life Insurance"
"-","Life, Savings","Strengthen your future with easy access and guaranteed whole life coverage","Manulife Future Shield","Life Insurance"
"-","Medical","A medical plan that provides you with enhanced coverage on top of 30% discount from the very start","Manulife Health Saver Benefit + MHSB Booster","Life Insurance"
"-","Medical","Getting my first medical protection is vital","Manulife MediShield","Life Insurance"
"-","Critical Illness","Cherish your precious moment with an early protection plan","Manulife Precious Gift","Life Insurance"
"-","Savings","Celebrate life milestones with confidence","Manulife Universal Saver","Life Insurance"
"-","Investment","A unique plan that gives you the opportunity to enhance your life protection at all times","Manulife Value Enhancer","Life Insurance"
"-","Investment","Securing your legacy for generations to come","Signature Heirloom (VII)","Life Insurance"
"-","Investment","Elevate your legacy, your way","Signature Heirloom Indexed Universal Life","Life Insurance"
"Alliance Bank","Savings","Make Your Vision a Reality","Elite Income 88","Life Insurance"
"Alliance Bank","Life, Investment","Protection at every stage of your life","Elite Life Guard 2","Life Insurance"
"Alliance Bank","Life, Investment","Build A Lifelong Legacy For Generations To Come","EliteLife Signature Legacy","Life Insurance"
"Alliance Bank","Savings","Managing Your Wealth Today For A More Secure Future","EliteLife Signature Saver","Life Insurance"
"Alliance Bank","Life, Investment","Build Your Wealth For A Future To Treasure","EliteLife Signature Treasure","Life Insurance"
"","Scraped at","2024-08-23 16:30 +08",":",""
