"product_name","product_description","product_type"
"BSN Home Assure","Term Reducing Assurance Protection Plan that covers your home loans.","Distribution Partners"
"BSN RTA","Term Reducing Assurance Protection Plan that covers your personal loans.","Distribution Partners"
"Cancer Cover+","Cancer Cover+ is a financial protection plan for your journey to recovery with maturity benefit.","Critical Illness"
"Cash Booster","Boost your cash savings with guaranteed payout at maturity with Cash Booster today.","Savings & Investment"
"Commute Cover+","Get coverage against events when travelling in a car with Commute Cover+","Distribution Partners"
"Dengue Cover+","Get life insurance coverage for Dengue and Zika virus infection plus other benefits.","Distribution Partners"
"FWD CI Intense Shield","A rider which provides coverage for early and advanced stages of critical illness.","Critical Illness"
"FWD IL CI (Accelerated)","Get covered against 45 critical illnesses ensuring peace of mind for you and your loved ones.","Critical Illness"
"FWD IL Hospitalisation Income Benefit","Relieve financial worries with daily hospital income during your hospital stay, allowing you to concentrate on your recovery.","Medical Insurance"
"FWD IL Living Extra (WOP)","With FWD IL Living Extra (WOP), you can focus on recovering as we waive your premium payment upon diagnosis of any of the 44 critical illnesses. Find out more.","Critical Illness"
"FWD IL PA","Get more from your investment-linked plan with personal accident coverage.","Life Insurance"
"FWD IL WOP","Provides waiver of premium on diagnosis of any of the 44 critical illnesses","Life Insurance"
"FWD Living Extra (Premium Waiver)","Provides waiver on diagnosis of any of the 44 critical illness","Critical Illness"
"FWD Max Wealth","Maximise your wealth with increasing guaranteed cash payments while also enjoying extra protection","Savings & Investment"
"FWD Medi First","A comprehensive medical plan that ensures your healthcare needs with no Lifetime Limit.","Medical Insurance"
"FWD Payor Enhanced (Premium Waiver)","Provides waiver of premium upon death, TPD or on diagnosis of any of the 44 critical illness","Life Insurance"
"FWD WealthLink","Build a safety net with increasing coverage for you & your loved ones.","Life Insurance, Savings & Investment"
"FWD WealthLink Pro","Boost your protection and build wealth with FWD WealthLink Pro","Life Insurance, Savings & Investment"
"GoSecure & GoSecure+","Secure the legacy of your life & business & have the flexibility to choose policy & payment terms","Life Insurance"
"PA Cover+","An essential accident protection & life insurance plan which offers benefits such as No Claim Bonus.","Life Insurance"
"Qaseh","4 simple plans to meet your needs, ranging from insurance coverage to savings, and other great benefits.","Distribution Partners"
"Qaseh Bakti Plus","A health insurance plan that eases your financial burden for worry-free recovery.","Distribution Partners"
"QasehLink Pintar","Helps you accumulate wealth while providing valuable insurance protection.","Distribution Partners"
"i-Care","From only RM9.75 a month, i-Care offers you affordable life insurance for you & your family","Life Insurance"
"i-FlexCover","Adjust your life insurance coverage in Malaysia anytime, at no extra charge.","Life Insurance"
"i-Med","From only RM41.85/month, i-Med offers you affordable medical insurance in Malaysia.","Medical Insurance"
"i-Protect & i-Protect Plus","From only RM7.60/month, i-Protect & i-Protect Plus offers you affordable critical illness insurance in Malaysia.","Critical Illness"
