"product_type","product_name","product_description"
"investment, family","Zurich ValueLife Pluz","Plan For A Debt-Free Future."
"investment, family","Zurich ValueLife Junior","Big Protection For Your Little One."
"investment, family","Zurich ValueLife","Safeguarding Life's Precious Moments."
"investment, family","Zurich ValueLife Premier","For The Hero In You."
"investment, future","Zurich Max1nvest","Optimising investment opportunities."
"savings, future","Zurich Prestige Cover","The plan that grows with you, for you."
"savings, future","Zurich Favour8 Guaranteed Acceptance","Shape your future with rewards along the way"
"savings, future","Zurich Favour8","Shape your future with rewards along the way."
"savings, future","Super Wealth Plan","Guaranteed long term cash payment with maturity benefit to secure your financial goals.
"
"protection, health","Zurich iCare Essential","Critical protection made easy."
"protection, health","Zurich iCare Medic","Big journeys begin with small steps. Start here."
"protection, health","Z-MedProtect","Just focus on getting well, we will take care of the rest!"
"protection, health","MedicaGen 200","Prepares you for costly medical expenses with comprehensive protection."
"protection, health","MediLove","Essential health coverage for peace of mind."
"protection, health","Zurich Infinite Care","Comprehensive health benefits that truly fit you."
"protection, health","Zurich ValueCare","Caring for you and your health needs."
"protection, health","MaxMedic","Comprehensive medical plan that is easy on your pocket."
"protection, health","Critical Care","Affordable 50 Critical Illnesses protection plan for peace of mind."
"protection, health","Critical Care Essential","Protects you against 50 Critical Illnesses with additional payout."
"protection, health","Early Care Critical Illness","Provides you the financial support right from the early to advanced stages of a critical illness."
"protection, health","Flex Lady Critical Illness","Comprehensive coverage against major female critical illnesses."
"protection, health","Flex Junior Critical Illness","Protects your child against juvenile critical illnesses."
"protection, health","Flex Maternity Care","Protects you and your child during pre-natal and infancy period."
"protection, health","Hospital Income Plus","Receive daily cash income upon hospitalisation."
"protection, health","Hospital & Surgical Benefit","Daily hospitalisation income and surgical benefit plan."
"protection, health","Enhance Your Coverage With Our Riders","Give your family the confidence to handle life's uncertainties with ease."
"protection, life","Zurich ValueLife Pluz","Plan A Debt-Free Future."
"protection, life","Zurich Essential Cover","Protecting your future with ease."
"protection, life","Zurich ValueLife Junior","Big Protection for Your Little One."
"protection, life","Zurich Prestige Cover","The plan that grows with you, for you."
"protection, life","Zurich Everlasting Cover","Always with you through good and bad times."
"protection, life","Zurich Multi Shield","A better tomorrow for your loved ones."
"protection, life","Zurich ValueLife","Safeguarding Life’s Precious Moments."
"protection, life","Zurich ValueLife Premier","For the Hero in you."
"protection, life","Zurich TermLife","Customised protection to secure your family and business' financial wellbeing.
"
"protection, life","Teras Perdana","5-in-1 protection plan with Guaranteed Cash Back at maturity!
"
"protection, life","Zurich SureCover","The ultimate convenience."
"protection, life","Max Golden Wanita Protection","Customised protection for women in their golden years and beyond. 
"
"protection, life","PA Protector and PA Medicare","Comprehensive personal accident coverage with flexible add-on benefits.
"
"protection, life","Protect All 110 EVO","All in one complete personal accident protection plan.
"
"protection, life","Critical Care Premium Waiver","Premium waiver benefit that relieves your financial burden should a critical illness occur.
"
"protection, life","Enhance Your Coverage With Our Riders","Give your family the confidence to handle life's uncertainties with ease."
"protection, safety","Personal Sentinel V3 Plus","Essential protection for your loved ones."
"protection, safety","Individual Personal Accident","Live confidently by protecting yourself against the unexpected."
"protection, family","Zurich ValueLife Junior","Big protection for your little one"
"protection, family","Zurich ValueLife Premier","For the Hero in you."
"protection, family","Zurich Prestige Cover","The plan that grows with you, for you."
"protection, family","Domestic Maid Insurance Scheme","24-7 coverage for the indispensable helper in your home."
"protection, family","Zurich Multi Shield","A better tomorrow for your loved ones."
"protection, family","School Personal Accident","Comprehensive protection for your little ones."
"protection, property","Z-HomeProtect","Safeguarding the place you call home
"
"protection, property","Fire Insurance","Protect your property and inventory from fire-related incidents.
"
"protection, vehicle","Z-Drive Assist","Drive with confidence on the road with Z-Drive Assist"
"protection, vehicle","Z-Driver","Protects you and your loved ones on the road."
"protection, vehicle","Z-Rider","Protects your motorcycle and those that you truly love while on the road"
"protection, travel","Z-Travel Insurance (International)","Covers you and your family while travelling overseas"
"protection, travel","Z-Travel Insurance (Domestic)","Covers you and your family while travelling within Malaysia"
"protection, golf","Golfer’s Insurance","The perfect coverage for avid golfers."
